image_path,mask_path
/workspace/team/pancrea_cyst_mri/approach_b/cropped/roi256/images/EMC024.nii.gz,/workspace/team/pancrea_cyst_mri/approach_b/cropped/roi256/masks/EMC024.nii.gz
/workspace/team/pancrea_cyst_mri/approach_b/cropped/roi256/images/IU9.nii.gz,/workspace/team/pancrea_cyst_mri/approach_b/cropped/roi256/masks/IU9.nii.gz
/workspace/team/pancrea_cyst_mri/approach_b/cropped/roi256/images/EMC092.nii.gz,/workspace/team/pancrea_cyst_mri/approach_b/cropped/roi256/masks/EMC092.nii.gz
/workspace/team/pancrea_cyst_mri/approach_b/cropped/roi256/images/NU51.nii.gz,/workspace/team/pancrea_cyst_mri/approach_b/cropped/roi256/masks/NU51.nii.gz
/workspace/team/pancrea_cyst_mri/approach_b/cropped/roi256/images/NYU0075.nii.gz,/workspace/team/pancrea_cyst_mri/approach_b/cropped/roi256/masks/NYU0075.nii.gz
/workspace/team/pancrea_cyst_mri/approach_b/cropped/roi256/images/NYU0069.nii.gz,/workspace/team/pancrea_cyst_mri/approach_b/cropped/roi256/masks/NYU0069.nii.gz
/workspace/team/pancrea_cyst_mri/approach_b/cropped/roi256/images/NU101.nii.gz,/workspace/team/pancrea_cyst_mri/approach_b/cropped/roi256/masks/NU101.nii.gz
/workspace/team/pancrea_cyst_mri/approach_b/cropped/roi256/images/MCF10.nii.gz,/workspace/team/pancrea_cyst_mri/approach_b/cropped/roi256/masks/MCF10.nii.gz
/workspace/team/pancrea_cyst_mri/approach_b/cropped/roi256/images/MCA22.nii.gz,/workspace/team/pancrea_cyst_mri/approach_b/cropped/roi256/masks/MCA22.nii.gz
/workspace/team/pancrea_cyst_mri/approach_b/cropped/roi256/images/IU19.nii.gz,/workspace/team/pancrea_cyst_mri/approach_b/cropped/roi256/masks/IU19.nii.gz
/workspace/team/pancrea_cyst_mri/approach_b/cropped/roi256/images/NU127.nii.gz,/workspace/team/pancrea_cyst_mri/approach_b/cropped/roi256/masks/NU127.nii.gz
/workspace/team/pancrea_cyst_mri/approach_b/cropped/roi256/images/CAD182.nii.gz,/workspace/team/pancrea_cyst_mri/approach_b/cropped/roi256/masks/CAD182.nii.gz
