site,shape_x,shape_y,shape_z,cases
AHN,320,320,27,5
AHN,256,192,29,1
AHN,256,204,23,1
AHN,256,204,44,1
AHN,256,208,33,1
AHN,256,220,35,1
AHN,256,224,27,1
AHN,256,224,40,1
AHN,320,320,29,1
AHN,512,512,36,1
CAD,256,256,30,21
CAD,256,256,34,16
CAD,256,256,32,8
CAD,256,256,36,7
CAD,256,256,40,7
CAD,256,256,44,5
CAD,256,256,38,4
CAD,256,256,35,3
CAD,256,256,24,2
CAD,256,256,28,2
CAD,256,256,33,2
CAD,256,256,26,1
CAD,256,256,29,1
CAD,256,256,37,1
CAD,256,256,41,1
CAD,256,256,48,1
CAD,256,256,58,1
EMC,512,512,32,4
EMC,512,512,37,4
EMC,512,512,30,3
EMC,512,512,39,3
EMC,512,512,31,2
EMC,512,512,33,2
EMC,512,512,42,2
EMC,256,192,27,1
EMC,256,208,26,1
EMC,256,256,24,1
EMC,256,256,25,1
EMC,256,256,30,1
EMC,320,320,26,1
EMC,384,252,20,1
EMC,384,384,35,1
EMC,512,352,24,1
EMC,512,384,30,1
EMC,512,512,25,1
EMC,512,512,34,1
EMC,512,512,35,1
EMC,512,512,38,1
EMC,528,528,25,1
IU,320,260,35,7
IU,512,416,36,7
IU,512,416,45,6
IU,336,336,28,2
IU,512,384,35,2
IU,512,416,40,2
IU,320,250,30,1
IU,320,260,37,1
IU,352,352,33,1
IU,512,512,35,1
IU,512,512,38,1
IU,512,512,40,1
IU,512,512,45,1
IU,512,512,47,1
IU,512,512,49,1
MCA,512,512,30,3
MCA,512,512,32,3
MCA,384,324,50,1
MCA,512,512,28,1
MCA,512,512,33,1
MCA,512,512,34,1
MCA,512,512,36,1
MCA,512,512,39,1
MCA,512,512,40,1
MCA,512,512,48,1
MCA,512,512,56,1
MCF,320,320,32,5
MCF,320,320,36,3
MCF,320,320,34,2
MCF,320,320,40,2
MCF,256,192,23,1
MCF,320,320,30,1
MCF,320,320,33,1
MCF,320,320,37,1
MCF,320,320,38,1
MCF,320,320,42,1
MCF,512,512,32,1
NU,256,208,55,3
NU,256,256,60,3
NU,320,320,48,3
NU,320,260,36,2
NU,320,260,40,2
NU,320,260,45,2
NU,320,280,52,2
NU,320,320,51,2
NU,320,320,52,2
NU,320,320,55,2
NU,320,320,60,2
NU,256,192,50,1
NU,256,208,48,1
NU,256,208,51,1
NU,256,208,60,1
NU,256,208,62,1
NU,256,212,56,1
NU,256,216,60,1
NU,256,256,25,1
NU,256,256,30,1
NU,256,256,45,1
NU,256,256,48,1
NU,256,256,54,1
NU,256,256,65,1
NU,320,220,36,1
NU,320,220,45,1
NU,320,240,40,1
NU,320,248,54,1
NU,320,250,32,1
NU,320,250,38,1
NU,320,250,40,1
NU,320,250,44,1
NU,320,250,50,1
NU,320,256,50,1
NU,320,260,33,1
NU,320,260,34,1
NU,320,260,35,1
NU,320,260,44,1
NU,320,260,46,1
NU,320,260,52,1
NU,320,260,55,1
NU,320,270,38,1
NU,320,270,51,1
NU,320,270,56,1
NU,320,272,58,1
NU,320,280,15,1
NU,320,280,44,1
NU,320,280,50,1
NU,320,280,54,1
NU,320,290,48,1
NU,320,290,50,1
NU,320,296,54,1
NU,320,310,57,1
NU,320,310,58,1
NU,320,320,54,1
NU,320,320,56,1
NU,384,288,56,1
NU,384,312,39,1
NU,384,312,44,1
NU,384,336,54,1
NU,512,328,50,1
NU,512,352,35,1
NU,512,416,48,1
NU,512,416,50,1
NU,512,460,32,1
NU,512,464,60,1
NU,512,512,24,1
NU,512,512,32,1
NU,512,512,35,1
NU,512,512,50,1
NU,512,512,56,1
NU,512,512,61,1
NYU,320,320,37,4
NYU,320,320,46,3
NYU,320,320,50,3
NYU,256,256,49,2
NYU,256,256,54,2
NYU,256,256,55,2
NYU,320,220,40,2
NYU,320,320,33,2
NYU,320,320,40,2
NYU,320,320,41,2
NYU,320,320,45,2
NYU,512,512,60,2
NYU,256,192,39,1
NYU,256,208,50,1
NYU,256,208,54,1
NYU,256,208,59,1
NYU,256,208,62,1
NYU,256,216,53,1
NYU,256,216,55,1
NYU,256,224,56,1
NYU,256,224,59,1
NYU,256,224,67,1
NYU,256,232,38,1
NYU,256,232,51,1
NYU,256,240,50,1
NYU,256,256,33,1
NYU,256,256,40,1
NYU,256,256,45,1
NYU,256,256,46,1
NYU,256,256,50,1
NYU,256,256,53,1
NYU,256,256,56,1
NYU,256,256,57,1
NYU,256,256,60,1
NYU,256,256,63,1
NYU,256,256,66,1
NYU,320,240,40,1
NYU,320,240,45,1
NYU,320,244,24,1
NYU,320,244,26,1
NYU,320,244,30,1
NYU,320,260,40,1
NYU,320,260,43,1
NYU,320,260,62,1
NYU,320,270,40,1
NYU,320,280,102,1
NYU,320,290,36,1
NYU,320,290,41,1
NYU,320,290,43,1
NYU,320,320,34,1
NYU,320,320,42,1
NYU,320,320,56,1
NYU,384,324,53,1
NYU,512,384,41,1
NYU,512,480,47,1
